,Category,F1-Score
0,ARTS,0.0
1,ARTS & CULTURE,0.0
2,BLACK VOICES,0.0
3,BUSINESS,0.19437551695616212
4,COLLEGE,0.0
5,COMEDY,0.0
6,CRIME,0.001863932898415657
7,CULTURE & ARTS,0.0
8,DIVORCE,0.0
9,EDUCATION,0.0
10,ENTERTAINMENT,0.5413290113452188
11,ENVIRONMENT,0.0
12,FIFTY,0.0
13,FOOD & DRINK,0.6181663475856201
14,GOOD NEWS,0.0
15,GREEN,0.007425742574257425
16,HEALTHY LIVING,0.0
17,HOME & LIVING,0.0
18,IMPACT,0.0
19,LATINO VOICES,0.0
20,MEDIA,0.0
21,MONEY,0.0
22,PARENTING,0.41900339346311843
23,PARENTS,0.0
24,POLITICS,0.6669416658072943
25,QUEER VOICES,0.0
26,RELIGION,0.09643605870020965
27,SCIENCE,0.02962962962962963
28,SPORTS,0.4785089387599848
29,STYLE,0.005509641873278237
30,STYLE & BEAUTY,0.5030062393647192
31,TASTE,0.00894187779433681
32,TECH,0.0
33,THE WORLDPOST,0.0
34,TRAVEL,0.4705240174672489
35,U.S. NEWS,0.0
36,WEDDINGS,0.0
37,WEIRD NEWS,0.0
38,WELLNESS,0.46193118756936735
39,WOMEN,0.009074410163339383
40,WORLD NEWS,0.16345514950166112
41,WORLDPOST,0.03165182987141444
