,Category,F1-Score
0,ARTS,0.5506607929515418
1,ARTS & CULTURE,0.5306666666666666
2,BLACK VOICES,0.5270164447924823
3,BUSINESS,0.5585792036665712
4,COLLEGE,0.5303703703703704
5,COMEDY,0.5827814569536424
6,CRIME,0.6354022988505748
7,CULTURE & ARTS,0.5854616895874263
8,DIVORCE,0.8240426563257393
9,EDUCATION,0.47877758913412566
10,ENTERTAINMENT,0.7720398376982663
11,ENVIRONMENT,0.5397225725094578
12,FIFTY,0.5139240506329114
13,FOOD & DRINK,0.7868520859671302
14,GOOD NEWS,0.3559096945551129
15,GREEN,0.5168539325842697
16,HEALTHY LIVING,0.5187180177753837
17,HOME & LIVING,0.8175411119812059
18,IMPACT,0.3987408184679958
19,LATINO VOICES,0.52
20,MEDIA,0.5875576036866359
21,MONEY,0.5834109972041006
22,PARENTING,0.735656836461126
23,PARENTS,0.4981481481481482
24,POLITICS,0.8295407719426766
25,QUEER VOICES,0.7666937010002703
26,RELIGION,0.6296296296296297
27,SCIENCE,0.6062132661628883
28,SPORTS,0.7824402840542285
29,STYLE,0.6032233307751343
30,STYLE & BEAUTY,0.8644124539671911
31,TASTE,0.49376114081996436
32,TECH,0.6025934401220442
33,THE WORLDPOST,0.5987025023169601
34,TRAVEL,0.8433411606843341
35,U.S. NEWS,0.39357429718875503
36,WEDDINGS,0.8538631346578367
37,WEIRD NEWS,0.4726793943383805
38,WELLNESS,0.794107452339688
39,WOMEN,0.43229689067201604
40,WORLD NEWS,0.5198592257415787
41,WORLDPOST,0.6528822055137845
