,Category,F1-Score
0,ARTS,0.27631578947368424
1,ARTS & CULTURE,0.19263456090651557
2,BLACK VOICES,0.35514018691588783
3,BUSINESS,0.4201925882696236
4,COLLEGE,0.3206997084548105
5,COMEDY,0.3876117496807152
6,CRIME,0.4952294411631077
7,CULTURE & ARTS,0.3136593591905565
8,DIVORCE,0.6691519105312209
9,EDUCATION,0.3400673400673401
10,ENTERTAINMENT,0.6151545363908275
11,ENVIRONMENT,0.30196936542669583
12,FIFTY,0.22522522522522523
13,FOOD & DRINK,0.6053243732230551
14,GOOD NEWS,0.22790202342917998
15,GREEN,0.30193387398627575
16,HEALTHY LIVING,0.2586247359774701
17,HOME & LIVING,0.6587240584166026
18,IMPACT,0.2700096432015429
19,LATINO VOICES,0.3072289156626506
20,MEDIA,0.39802089059923035
21,MONEY,0.3515392254220457
22,PARENTING,0.4776007497656982
23,PARENTS,0.27714172917489144
24,POLITICS,0.7305329267737678
25,QUEER VOICES,0.5863027546120798
26,RELIGION,0.3677685950413223
27,SCIENCE,0.4356589147286822
28,SPORTS,0.6621530128639134
29,STYLE,0.2308265078183172
30,STYLE & BEAUTY,0.6804910418049104
31,TASTE,0.2620578778135048
32,TECH,0.4272340425531915
33,THE WORLDPOST,0.43105022831050227
34,TRAVEL,0.7143585386576041
35,U.S. NEWS,0.13128491620111732
36,WEDDINGS,0.681899641577061
37,WEIRD NEWS,0.2757715036112935
38,WELLNESS,0.5852659029524075
39,WOMEN,0.2764932562620424
40,WORLD NEWS,0.35379464285714285
41,WORLDPOST,0.30499675535366644
