,Category,F1-Score
0,ARTS,0.26045400238948624
1,ARTS & CULTURE,0.24045261669024046
2,BLACK VOICES,0.4207340143776012
3,BUSINESS,0.47700170357751276
4,COLLEGE,0.3880171184022825
5,COMEDY,0.4305512781028642
6,CRIME,0.5539016689219666
7,CULTURE & ARTS,0.318739054290718
8,DIVORCE,0.7098276665114113
9,EDUCATION,0.3765541740674956
10,ENTERTAINMENT,0.666207303868491
11,ENVIRONMENT,0.3470873786407767
12,FIFTY,0.2761795166858458
13,FOOD & DRINK,0.6278586278586279
14,GOOD NEWS,0.2711471610660487
15,GREEN,0.40632603406326034
16,HEALTHY LIVING,0.31682703590706407
17,HOME & LIVING,0.6959511077158136
18,IMPACT,0.3057768924302789
19,LATINO VOICES,0.36363636363636365
20,MEDIA,0.5052748473070516
21,MONEY,0.4426559356136821
22,PARENTING,0.5216558068225373
23,PARENTS,0.3103020273065784
24,POLITICS,0.7687698760197262
25,QUEER VOICES,0.6624040920716112
26,RELIGION,0.4799465240641711
27,SCIENCE,0.49364248317127896
28,SPORTS,0.7170943018993668
29,STYLE,0.34744525547445254
30,STYLE & BEAUTY,0.7390943771769779
31,TASTE,0.28820269200316706
32,TECH,0.5201342281879194
33,THE WORLDPOST,0.49610983981693363
34,TRAVEL,0.7390938184268149
35,U.S. NEWS,0.27456258411843876
36,WEDDINGS,0.734065934065934
37,WEIRD NEWS,0.3470967741935484
38,WELLNESS,0.6287147102526003
39,WOMEN,0.301940369143398
40,WORLD NEWS,0.45219228737453776
41,WORLDPOST,0.42021924482338613
